K;LCS;LCI;LC;MEDIA;LC;LCS;LCI;RANGO
1;183.0049365;177.2830635;180.144;180.4;4.96;9.93984;0;4
2;183.0049365;177.2830635;180.144;179.2;4.96;9.93984;0;5
3;183.0049365;177.2830635;180.144;179;4.96;9.93984;0;6
4;183.0049365;177.2830635;180.144;180.6;4.96;9.93984;0;4
5;183.0049365;177.2830635;180.144;180.2;4.96;9.93984;0;7
6;183.0049365;177.2830635;180.144;180.4;4.96;9.93984;0;3
7;183.0049365;177.2830635;180.144;178.8;4.96;9.93984;0;4
8;183.0049365;177.2830635;180.144;181;4.96;9.93984;0;8
9;183.0049365;177.2830635;180.144;179.8;4.96;9.93984;0;5
10;183.0049365;177.2830635;180.144;179.6;4.96;9.93984;0;6
11;183.0049365;177.2830635;180.144;180.2;4.96;9.93984;0;7
12;183.0049365;177.2830635;180.144;180;4.96;9.93984;0;5
13;183.0049365;177.2830635;180.144;182.8;4.96;9.93984;0;3
14;183.0049365;177.2830635;180.144;180.8;4.96;9.93984;0;3
15;183.0049365;177.2830635;180.144;179.4;4.96;9.93984;0;7
16;183.0049365;177.2830635;180.144;181;4.96;9.93984;0;8
17;183.0049365;177.2830635;180.144;179.8;4.96;9.93984;0;7
18;183.0049365;177.2830635;180.144;181;4.96;9.93984;0;2
19;183.0049365;177.2830635;180.144;178.8;4.96;9.93984;0;3
20;183.0049365;177.2830635;180.144;178.8;4.96;9.93984;0;2
21;183.0049365;177.2830635;180.144;180.6;4.96;9.93984;0;6
22;183.0049365;177.2830635;180.144;180;4.96;9.93984;0;3
23;183.0049365;177.2830635;180.144;179.8;4.96;9.93984;0;6
24;183.0049365;177.2830635;180.144;181.8;4.96;9.93984;0;3
25;183.0049365;177.2830635;180.144;179.8;4.96;9.93984;0;7
;;;;;;;;
